Nr,language,pov,original,gloss,translation,source,page,comments
651,Ndyuka,refllexive,i</td><td>go</td><td>kii</td><td>[i</td><td>seefi],you</td><td>go</td><td>kill</td><td>[you</td><td><i>seefi</i>]=REFL,You go kill yourself.,"Huttar, George L. & Mary L. Huttar (1994). <i>Ndyuka</i>. London/New York: Routledge.",275,--
652,Ndyuka,own,a</td><td>sende</td><td>en</td><td>gi</td><td>[en</td><td>éigi]</td><td>mma,PRO.3SG</td><td>send</td><td>it</td><td>give</td><td>[PRO.3G.OBL</td><td>own]</td><td>mother,She sent it to her own mother.,"Huttar, George L. & Mary L. Huttar (1994). <i>Ndyuka</i>. London/New York: Routledge.",277,--
653,Ndyuka,adnominal,a</td><td>daai</td><td>go</td><td>teke</td><td>seibin</td><td>taa</td><td>wan</td><td>di</td><td>ogii</td><td>moo</td><td>eke</td><td>[en</td><td>seefi],PRO.3SG</td><td>turn</td><td>go</td><td>take</td><td>seven</td><td>other</td><td>one</td><td>who</td><td>bad</td><td>more</td><td>like</td><td>[PRO.3SG.OBL</td><td><i>seefi</i>]=INT,He went back and got seven others who were worse than he was himself.,"Huttar, George L. & Mary L. Huttar (1994). <i>Ndyuka</i>. London/New York: Routledge.",278,--
654,Ndyuka,negative polarity item,a</td><td>á</td><td>bun</td><td>seefi-seefi,PRO.3SG</td><td>NEG</td><td>good</td><td>INT-INT,It was not good whatsoever.,"Huttar, George L. & Mary L. Huttar (1994). <i>Ndyuka</i>. London/New York: Routledge.",282,reduplicated form of intensifiers <i>seefi</i>
655,Ngiti,reflexive,kála</td><td>nd&#616;&#768;,3SG.see.PFCT</td><td>REFL,He has seen himself.,"Kutsch Lojenga, Constance (1994). <i>Ngiti: A Central-Sudanic language of Zaire</i>. Nilo-Saharan, 9. Köln: Köppe.",199,--
656,Ngiti,adv exclusive,ma</td><td>màrà</td><td>kòb&#301;</td><td>&#660;&#596;&#768;</td><td>mà-t&#616;&#833;r&#596;&#768;,I</td><td>go.PFCT</td><td>market</td><td>in</td><td>1SG-INT,I have gone to the market myself.,"Kutsch Lojenga, Constance (1994). <i>Ngiti: A Central-Sudanic language of Zaire</i>. Nilo-Saharan, 9. Köln: Köppe.",200,--
657,Ngiti,adnominal,nd&#616;&#768;-t&#616;&#833;r&#596;&#768;</td><td>k&#596;&#768;zu&#768;</td><td>w&#596;&#768;r&#616;&#833;</td><td>bh&#468;kù,REFL/LOG-INT</td><td>3SG.read.PFCT</td><td>DEM</td><td>book,He himself has read that book,"Kutsch Lojenga, Constance (1994). <i>Ngiti: A Central-Sudanic language of Zaire</i>. Nilo-Saharan, 9. Köln: Köppe.",200,--
658,Trumai,reflexive,make-n,bite-3.ABS,He bit something/himself.,"Guirardello, Raquel (1999). <i>A Reference Grammar of Trumai</i>. Ph.D. Thesis. Linguistic Department, Rice University. Houston, Texas, USA.",324,intransitivization strategy: reflexive interpretation probably motivated by pragmatic factors.
659,Trumai,adv exclusive,ha</td><td>falapetsi</td><td>ka_in,I</td><td>do.alone</td><td>FOC,I made it by myself.,"Guirardello, Raquel (1999). <i>A Reference Grammar of Trumai</i>. Ph.D. Thesis. Linguistic Department, Rice University. Houston, Texas, USA.",325,"<i>falapetsi</i> is used in the sense of 'do an action without participants other than the agent'; the underline (&lt;_&gt;) links ""morphemes that are independent, but generally associated in a specific context"" (Guirardello 1999: xiii)"
660,Trumai,reflexive,ha</td><td>falapetsi</td><td>ha</td><td>make</td><td>(hai-tl),I</td><td>do.alone</td><td>I</td><td>bite</td><td>(1-DAT),I bit myself. (lit.: 'I did (it) alone I bit (myself)'),"Guirardello, Raquel (1999). <i>A Reference Grammar of Trumai</i>. Ph.D. Thesis. Linguistic Department, Rice University. Houston, Texas, USA.",326,with <i>falapetsi</i> the subject is understood to be the only participant.
661,Yiddish,own,ikh</td><td>hob</td><td>dem</td><td>eygenen</td><td>shlisl</td><td>far</td><td>undzeren</td><td>instityut,I</td><td>have</td><td>ART</td><td>own</td><td>key</td><td>for</td><td>our</td><td>institute,I have a key of my own for our institute.,questionnaire (source informant: Adam ALbright),--,--
662,Wolof,scalar focus particle,dimanche</td><td>sax</td><td>damay</td><td>liggéey,sunday</td><td>even</td><td>1SG.IMPF</td><td>work,Even on sunday I have to work.,"Carola Emkow (p.c.), source informant: Moctar Kamara",--,<i>même dimanche</i> would also be a possibility
663,Wolof,reflexive,mu</td><td>ngiy</td><td>sang-u,he</td><td>PROG</td><td>wash-REFL,He washes.,"Carola Emkow (p.c.), source informant: Moctar Kamara",-,<i>-u</i>: verbal reflexive
664,Wolof,reflexive,bopp-am</td><td>la</td><td>gëne</td><td>bëg,REFL-POSS.3SG</td><td>OBJ.EMPH</td><td>SUP</td><td>like,"Most of all, he loves himself.","Carola Emkow (p.c.), source informant: Moctar Kamara",-,OBJ.EMPH: object emphasis; SUP: superlative
665,Turkish,reflexive,(siz)</td><td>kendi</td><td>kendi-niz-i</td><td>tenkit</td><td>et-me-yin,(you)</td><td>INT</td><td>REFL-2PL-ACC</td><td>critique</td><td>do-not-2PL.IMP,Don't criticize yourselves (yourselves)!,"Kornfilt, J. (1997). <i>Turkish</i>. London: Routledge.",139,"in all likeliness, the first <i>kendi</i> is an adverbial exclusive intensifier, and the second one a reflexive marker"
666,Turkish,own,kendi</td><td>telefon-um,INT</td><td>telephone-1SG,my own telephone,"Kornfilt, J. (1997). <i>Turkish</i>. London: Routledge.",138,-
667,Abkhaz,reflexive,w&#601;-x&#601;&#768;</td><td>(ø-)w&#601;-bè-yt&#146;,POSS.2SG-REFL</td><td>(it-)you-see-FIN,You saw yourself.,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge.",77,FIN: finite
668,Abkhaz,own,sara</td><td>s-ò-wp&#146;</td><td>s-x&#601;</td><td>a-rc&#146;ay°&#601;&#768;,I</td><td>1-be-STAT</td><td>POSS.1SG-REFL</td><td>its-teacher,I am my own teacher.,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge.",79,STAT: stative
669,Amharic,adnominal,&#601;ne</td><td>ras-e</td><td>nägä</td><td>&#601;mät&#146;alläwh,I</td><td>INT-POSS.1SG</td><td>tomorrow</td><td>will.come,I myself will come tomorrow.,"Leslau, Wolf (1995). <i>Reference Grammar of Amharic</i>. Wiesbaden: Harrassowitz.",58,&lt;t'&gt;: glottalized dental
670,Amharic,reflexive,yägäzza</td><td>ras-u-n</td><td>gäddälä,INT(AVE)</td><td>REFL-POSS.3SG-ACC</td><td>killed,He killed himself.,"Leslau, Wolf (1995). <i>Reference Grammar of Amharic</i>. Wiesbaden: Harrassowitz.",57,--
671,Amharic,reflexive,ras-u-n</td><td>säqqälä,REFL-POSS.3SG-ACC</td><td>hanged,He hanged himself,"Leslau, Wolf (1995). <i>Reference Grammar of Amharic</i>. Wiesbaden: Harrassowitz.",57,--
672,Amharic,own,yägäzza</td><td>ras-e</td><td>bet</td><td>näw,own</td><td>INT-POSS.1SG</td><td>house</td><td>is,It is my own house.,"Leslau, Wolf (1995). <i>Reference Grammar of Amharic</i>. Wiesbaden: Harrassowitz.",60,--
673,Arabic,reflexive,&#660;is&#660;al</td><td>nafs-ik</td><td>has-su&#660;aal,ask(IMP)</td><td>REFL-POSS.2SG</td><td>DEM-question,Ask yourself this question.,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge.",78,Gulf Arabic!
674,Arabic,reflexive,ba&#661;ti</td><td>nafs-i</td><td>fur&#359;a</td><td>li</td><td>n-najaa&#295;,I.will.give</td><td>REFL-POSS.1SG</td><td>chance</td><td>for</td><td>ART-success,I'll give myself a chance to succed.,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge.",84,&lt;&#661;&gt;: voiced pharyngeal fricative<br> &lt;&#359;&gt;: voiceless velarized ('emphatic') apico-dental fricative
675,Arabic,own,&#661;ogubmaa</td><td>tizawwaj</td><td>&#359;aar</td><td>&#661;adu</td><td>nafs-ah,after</td><td>he.got.married</td><td>he.became</td><td>enemy</td><td>INT-POSS.3SG,"After he got married, he became his own (worst) enemy.","Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge.",85,&lt;&#661;&gt;: voiced pharyngeal fricative<br> &lt;&#359;&gt;: voiceless velarized apico-dental fricative
676,Tukang Besi,reflexive,ku&#660;oko</td><td>karama-su,I.hid</td><td>REFL-POSS.1SG,I hid myself.,"Donohue, Mark (1999). <i>A Grammar of Tukang Besi</i>. Berlin: Mouton de Gruyter.",417,--
677,Tukang Besi,own,te</td><td>atu</td><td>te</td><td>kondi</td><td>karama-su,NNOM</td><td>that</td><td>NNOM</td><td>water.vessel</td><td>INT-POSS.1SG,That is my very own water vessel.,"Donohue, Mark (1999). <i>A Grammar of Tukang Besi</i>. Berlin: Mouton de Gruyter.",417,NNOM: non-nominative core argument
678,Tukang Besi,reflexive,ku&#660;ita-&#660;e</td><td>na</td><td>orungu-su,I.saw-OBJ.3SG</td><td>NOM</td><td>body-POSS.1SG,I saw myself.,"Donohue, Mark (1999). <i>A Grammar of Tukang Besi</i>. Berlin: Mouton de Gruyter.",418,--
679,Tsakhur,scalar focus particle,že-s&#772;-e-b</td><td>fat&#146;imat-i-s&#772;-e-b</td><td>hama-na</td><td>ha&#124;l<sub>j</sub>a:&#660;-as</td><td>w-a&#124;X-a-na,INT.2.OBL-ADESS-ELA-ASS3</td><td>Fatima-OBL-ADESS-ELA-ASS3</td><td>this-A.A.</td><td>solve-POT</td><td>3-can.IMPF-A.A.,...even Fatima could solve it (the problem).,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",235,1/2/3: (here) nominal (declension) classes; ASS3: 'coherence marker' for (nominal) class 3 (cf. Lyutikova 2000: 254)
680,Tsakhur,adv inclusive,jiz-da</td><td>&#269;ož</td><td>wuž</td><td>saniXa</td><td>hiwa:g<sub>o</sub>ani:,my-A.A.</td><td>brother.NOM</td><td>INT.NOM</td><td>yesterday</td><td>he.missed,"My brother missed (classes) himself (..., you'd better ask Fatima).","Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",230,--
681,Danish,adv exclusive,jeg</td><td>var</td><td>selv</td><td>skyld</td><td>i</td><td>ulykk-en,I</td><td>was</td><td>INT</td><td>guilty</td><td>in</td><td>accident-ART,The accident was my own fault.,questionnaire (source informant: Nanna Brandenhoff),--,--
682,Danish,adv exclusive,jeg</td><td>åbner</td><td>altid</td><td>(selv)</td><td>mine</td><td>breve,I</td><td>open</td><td>always</td><td>INT</td><td>my</td><td>letters,I alwaysopen my letters myself.,questionnaire (source informant: Nanna Brandenhoff),--,--
683,Danish,adv exclusive,jeg</td><td>tilberedte</td><td>selv</td><td>min</td><td>mad,I</td><td>prepared</td><td>INT</td><td>my</td><td>food,I prepared the dinner (by) myself.,questionnaire (source informant: Nanna Brandenhoff),--,--
684,Danish,adv exclusive,Hercule</td><td>Poirot</td><td>løste</td><td>selv</td><td>mysteri-et,Hrecule</td><td>Poirot</td><td>solved</td><td>INT</td><td>riddle-ART,Hercule Poirot solved the riddle himself.,questionnaire (source informant: Nanna Brandenhoff),--,-
685,Danish,adv exclusive,jeg</td><td>reparerede</td><td>selv</td><td>bil-en,I</td><td>repaired</td><td>selv</td><td>car-ART,I repaired the car myself.,questionnaire (source informant: Nanna Brandenhoff),--,--
686,Danish,adv exclusive,formand-en</td><td>læste</td><td>selv</td><td>avis-en,chairman-ART</td><td>read</td><td>INT</td><td>(news)paper-ART,The chairman read the papers himself.,questionnaire (source informant: Nanna Brandenhoff),--,--
687,Danish,adv inclusive,jeg</td><td>har</td><td>selv</td><td>børn,I</td><td>have</td><td>INT</td><td>children,I have children myself,http://www.cancer.dk/foreningen/virksomheder/ samarbejdspartnere/gosh.asp,--,--
688,Danish,adv inclusive,jeg</td><td>er</td><td>selv</td><td>en</td><td>pige,I</td><td>am</td><td>INT</td><td>a</td><td>girl,I am a girl myself.,http://www.jegelskerdig.dk/tekster/745.kommentar (21/11/2003),--,--
689,Danish,adv inclusive,Stella</td><td>er</td><td>selv</td><td>en</td><td>anerkendt</td><td>designer,Stella</td><td>is</td><td>INT</td><td>a</td><td>renowned</td><td>designer,Stella is a renowned designer herself.,http://www.kendte.dk/nyheder/3376/ (21/11/2003),--,--
690,Danish,adv inclusive,jeg</td><td>drikker</td><td>selv</td><td>i</td><td>weekenderne,I</td><td>drink</td><td>INT</td><td>PREP</td><td>weekends,I drink myself on the weekend.,http://www.ung-bladet.dk/alkohol/alkohol11.shtml (21/11/2003),--,--
691,Trumai,reflexive,ha</td><td>make</td><td>hai-tl,I</td><td>bite</td><td>I-DAT,I bit myself.,"Guirardello, Raquel (1999). <i>A Reference Grammar of Trumai</i>. Ph.D. Thesis. Linguistic Department, Rice University. Houston, Texas, USA.",322,--
692,Trumai,reflexive,wan</td><td>falapetsi-a</td><td>letsi</td><td>wan</td><td>hu&#146;tsa-n,PL</td><td>do.alone-POSS.3SG</td><td>INSTR</td><td>PL</td><td>see-3ABS,They saw themselves/each other.',"Guirardello, Raquel (1999). <i>A Reference Grammar of Trumai</i>. Ph.D. Thesis. Linguistic Department, Rice University. Houston, Texas, USA.",329,<i>falapetsia letsi</i>: lit. 'by doing it alone'
693,Telugu,reflexive,prasaad</td><td>siita</td><td>tana-ni</td><td>pogiDindi</td><td>ani</td><td>anukonnaaDu,Prasad</td><td>Sita</td><td>ANPH-ACC</td><td>praise</td><td>COMP</td><td>thought,Prasad(i) thought that Sita(j) praised him (i/*j).,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>.",243,no verbal reflexive <i>-kon</i>; long-distance use of <i>taan-</i>
694,Telugu,own,pramood</td><td>tan-a</td><td>pillali-ni</td><td>raaju-ki</td><td>cuupinc-ee-Du,Pramod</td><td>ANPH-GEN</td><td>children-ACC</td><td>king-DAT</td><td>show-PST-AGR,Pramod shod his (own) children to the king.,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>.",239,--
695,Tamil,adnominal,avan</td><td>tambiy-ee</td><td>kumaare</td><td>vrukkraan</td><td>,his</td><td>brother-EMPH</td><td>Kumar.ACC</td><td>hates,His brother himself hates Kumar.,"Annamalai, E. (2000). Lexical Anaphors and Pronouns in Tamil. In : Lust, B. et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South-Asian Languages</i>. Berlin: Mouton.",201,the translation has been adopted from the original; the suffix <i>-ee</i> might better be translated using <i>even</i> here ('Even his brother hates Kumar'.)
696,Tamil,reflexive,kumaar</td><td>taan-ee</td><td>(tanne)</td><td>tiruttikkiTTaan,Kumar</td><td>ANPH.NOM-EMPH</td><td>ANPH.ACC</td><td>corrected.MID</td><td>,Kumar corrected himself.,"Annamalai, E. (2000). Lexical Anaphors and Pronouns in Tamil. In : Lust, B. et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South-Asian Languages</i>. Berlin: Mouton.",175,the order of <i>taanee</i> and <i>tanne</i> is free
697,Tagalog,adv exclusive,"ako,</td><td>sarili</td><td>ko,</td><td>ang</td><td>gumawa</td><td>niyan",I</td><td>INT</td><td>1SG</td><td>DET</td><td>do</td><td>it,I did it myself.,"<a href=""http://www.nationmaster.com/encyclopedia/Tagalog"">http://www.nationmaster.com/encyclopedia/Tagalog</a>",--,--
698,Tagalog,own,ito</td><td>ang</td><td>sarili</td><td>ko-ng</td><td>bahay,this</td><td>DET</td><td>INT</td><td>1SG-LNK</td><td>house,This is my own house.,"Schachter, Paul (1972). <i>Tagalog Reference Grammar</i>. Berkeley: University of California Press.",138,--
699,Romanian,reflexive,Ion</td><td>s-a</td><td>spâlat,Ion</td><td>REFL.3SG-PFCT.3SG</td><td>wash.PST.PART,Ion washed himself.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",151,--
700,Romanian,reflexive,Ion</td><td>s-a</td><td>spâlat</td><td>pe</td><td>sine,Ion</td><td>REFL.3SG-PFCT.3SG</td><td>wash</td><td>PAST.PART</td><td>OM</td><td>REFL.3SG,Ion washed himself.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",152,--
701,Romanian,reflexive,Ion</td><td>s-a</td><td>ucis</td><td>pe</td><td>sine,Ion</td><td>REFL.3SG-PFCT.3SG</td><td>kill</td><td>OM</td><td>INT,Ion killed himSELF.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",152,--
702,Romanian,reflexive,Radu</td><td>&#351;i</td><td>l-a</td><td>cumparât,Radu</td><td>REFL.DAT</td><td>3SG-PFCT.3SG</td><td>bought,Radu bought it for himself.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",155,--
703,Romanian,own,Ana</td><td>a</td><td>devenit</td><td>propria</td><td>sa</td><td>profesoarâ,Ana</td><td>PFCT.3SG</td><td>become.PAST.PART</td><td>own.SG.FEM</td><td>her</td><td>teacher,Ana became her own teacher.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",157,--
704,Romanian,reflexive,Ion</td><td>e</td><td>plin</td><td>de</td><td>sine,Ion</td><td>is</td><td>full</td><td>of</td><td>REFL.3SG,Ion is full of himself.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",157,--
705,Romanian,reflexive,Ion</td><td>se</td><td>ocupâ</td><td>prea</td><td>mult</td><td>de</td><td>câr&#355;ile</td><td>sale,Ion</td><td>REFL.3SG.ACC</td><td>occupies</td><td>too</td><td>much</td><td>PREP</td><td>books</td><td>his,Ion occupies himself too much with his books.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",159,--
706,Romanian,adnominal,Ion</td><td>îns-u&#351;i</td><td>s-a</td><td>spâlat</td><td>,Ion</td><td>INT-PRON.3SG.GEN</td><td>REFL.3SG.ACC-PFCT</td><td>wash.PAST.PART,Ion himself washed himself.,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm.",161,--
707,Romanian,adnominal,stat-ul</td><td>ins-u&#351;i</td><td>se</td><td>sp&#259;la</td><td>pe</td><td>mâini</td><td>de</td><td>obliga&#355;iile</td><td>pe</td><td>care</td><td>le</td><td>are</td><td>fata</td><td>de</td><td>ce&#355;&#259;tean,state-ART</td><td>INT-PRON.3SG.GEN.MASC</td><td>REFL.3SG.ACC</td><td>wash</td><td>OM</td><td>hands</td><td>PREP</td><td>obligations</td><td>OM</td><td>which</td><td>it</td><td>has</td><td>made</td><td>PREP</td><td>citizen,The state itself washes its hands off the obligations which it has towards the citizens.,"<a href=""http://www.sisnet.ro/viatalibera/arhiva/3003/Editorial.html"">http://www.sisnet.ro/viatalibera/arhiva/3003/Editorial.html</a>",--,--
708,Romanian,adnominal,directorul</td><td>însu-&#351;i/în</td><td>persoan&#259;</td><td>va</td><td>vorbi</td><td>cu</td><td>noi.,the.director</td><td>INT/in</td><td>person</td><td>will</td><td>speak</td><td>with</td><td>us,The director himself/in Person will speak with us.,questionnaire (anonymous source informant),--,--
709,Romanian,adnominal,chiar</td><td>în</td><td>oaza</td><td>e</td><td>mult&#259;</td><td>ap&#259;.,INT</td><td>in</td><td>oasis</td><td>is</td><td>much</td><td>water,In the oasis itself there is much water.,questionnaire (anonymous source informant),--,--
710,Romanian,adv exclusive,Mario</td><td>a</td><td>reparat</td><td>mašina</td><td>de</td><td>la</td><td>sine.,Mario</td><td>has</td><td>repaired</td><td>car</td><td>PREP</td><td>PREP</td><td>REFL,Mario (has) repaired the car himself.,questionnaire (anonymous source informant),--,--
711,Romanian,adv exclusive,autoarea</td><td>nu</td><td>deseneaza</td><td>singur-a</td><td>ilustra&#355;iile.,author(FEM)</td><td>NEG</td><td>draw</td><td>AVE-FEM</td><td>the.illustrations,The author did not draw the illustrations herself.,questionnaire (anonymous source informant),--,--
712,Romanian,scalar focus particle,"chiar</td><td>sunînd</td><td>la</td><td>instalator,</td><td>tot</td><td>nu</td><td>po&#355;i</td><td>s&#259;</td><td>repari</td><td>&#355;eava.",even</td><td>calling</td><td>PREP</td><td>plumber</td><td>still</td><td>NEG</td><td>you.can</td><td>COMP</td><td>fix</td><td>pipe,"Even calling the plumber, you cannot fixthe pipe.","Daniliuc, L. & Daniliuc, R. (2000). <i>Descriptive Romanian Grammar -- An Outline</i>. München: LINCOM.",344,--
713,Swahili,adnominal,m-ti</td><td>w-enyewe,NC3-tree</td><td>NC3-INT,the tree itself,"Ashton, E.O. (1944). <i>Swahili Grammar</i>. London: Longmans.",63,--
714,Swahili,adnominal,m-vuvi</td><td>mw-enyewe,NC1-fisherman</td><td>NC1-INT,the fisherman himself,"Loogman, A. (1965). <i>Swahili Grammar and Syntax</i>. Louvain: Nauwelaerts.",361,--
715,Swahili,adv exclusive,amekuja</td><td>mw-enyewe,he.has.come</td><td>NC1-INT,He has come himself.,"Loogman, A. (1965). <i>Swahili Grammar and Syntax</i>. Louvain: Nauwelaerts.",361,--
716,Swahili,reflexive,ikamlazimu</td><td>ku-ji-tupa</td><td>ma-ji-ni,it.was.necessary</td><td>PRES-REFL-throw</td><td>NC6-water-LOC,He had to throw himself into the water.,"Loogman, A. (1965). <i>Swahili Grammar and Syntax</i>. Louvain: Nauwelaerts.",92,--
717,Swahili,reflexive,ni-na-ji-ona,1SG-PRS-REFL-see,I saw myself.,"<a href=""http://mwanasimba.online.fr/F_Chap08.htm"">http://mwanasimba.online.fr/F_Chap08.htm</a>",--,--
718,Swahili,own,nyumba</td><td>hizi</td><td>ni</td><td>zangu</td><td>mimi</td><td>mw-enyewe,houses</td><td>DEM.NC10</td><td>COP</td><td>mine.NC10</td><td>I</td><td>NC1-INT,These houses are my own.,"Loogman, A. (1965). <i>Swahili Grammar and Syntax</i>. Louvain: Nauwelaerts.",358,--
719,Shona,adnominal,màmbò</td><td>ó-mèné,chief</td><td>NC1.3SG-INT,the chief himself,"Fortune, S.J. (1955). <i>An Analytical Grammar of Shona</i>. London: Longmans.",169,--
720,Shona,adnominal,mukàtí</td><td>mó-mèné,middle</td><td>NC18-INT,"in the middle itself, amid","Brauner, Siegmund (1993). <i>Einführung ins Schona</i>. Köln: Köppe.",180,--
721,Shona,adv exclusive,ndatenga</td><td>rugwaro</td><td>ini</td><td>mene,I.bought</td><td>book</td><td>I</td><td>INT,I bought my book myself,"Biehler, E. (1950). <i>A Shona Dictionary with an Outline Shona Grammar</i>. Cape Town: Longmans.",187,no tones are indicated in the original
722,Hausa,reflexive,Tàlaa</td><td>[taa</td><td>gan]</td><td>tà</td><td>à</td><td>maduubîn,Tala</td><td>[she</td><td>saw]</td><td>PRO.3SG.OBJ</td><td>PREP</td><td>mirror,Tala saw her/herself in the mirror.,"Newman, P. (2000). <i>The Hausa Language: An Encyclopedic Reference Grammar</i>. New Haven: Yale University Press.",524,"with verbs of perception, a simple object pronoun can be coreferential with the subject"
723,Hausa,own,maalàm</td><td>[yaa</td><td>karràntà]</td><td>littaafi-n</td><td>kânsà,teacher</td><td>[he</td><td>read]</td><td>book-LNK</td><td>INT.3SG.MASC,The teacher read his own book.,"Newman, P. (2000). <i>The Hausa Language: An Encyclopedic Reference Grammar</i>. New Haven: Yale University Press.",525,--
724,Hausa,adv exclusive,gìlaashìn</td><td>[yaa</td><td>fashèè]</td><td>dà</td><td>kânsà,glass</td><td>[it</td><td>broke]</td><td>PREP</td><td>INT.3SG.MASC,The glass broke by itself.,"Newman, P. (2000). <i>The Hausa Language: An Encyclopedic Reference Grammar</i>. New Haven: Yale University Press.",526,adverbial-exclusive intensifier is possible with inanimate head NPs
725,Hausa,adnominal,kààfin</td><td>shii</td><td>kânsà</td><td>[yà</td><td>yàrrda]</td><td>doolè</td><td>[yà</td><td>tàmbàyi]</td><td>wânsà,before</td><td>he</td><td>INT.3SG.MASC</td><td>[he</td><td>agrees]</td><td>necessary</td><td>[he</td><td>asks]</td><td>his.elder.brother,"Before he himself agrees, he should ask his older brother.","Newman, P. (2000). <i>The Hausa Language: An Encyclopedic Reference Grammar</i>. New Haven: Yale University Press.",527,--
726,Hausa,scalar focus particle,harr</td><td>gidân</td><td>[yaa</td><td>k&#146;oonèè],even</td><td>house</td><td>[it</td><td>burnt</td><td>down],Even the house burnt down.,"Jaggar, P.J. (2001). <i>Hausa</i>. Amsterdam: Benjamins.",666,--
727,Hausa,scalar focus particle,koo</td><td>Audù</td><td>[yanàà</td><td>nan],even</td><td>Audu</td><td>[was</td><td>there],Even Audu was there.,"Jaggar, P.J. (2001). <i>Hausa</i>. Amsterdam: Benjamins.",666,--
728,Bambara,scalar focus particle,hali</td><td>Usman</td><td>tè</td><td>se</td><td>Lamini</td><td>na,even</td><td>Usman</td><td>NEG</td><td>can</td><td>Lamini</td><td>defeat</td><td>,Even Usman cannot defeat Lamini.,"Ebermann, E. (1986). <i>Kleines Wörterbuch der Bambara-Sprache</i>. Wien: Universität Wien.",219,--
729,Bambara,own,i</td><td>y&#603;&#768;r&#603;</td><td>ta</td><td>do</td><td>wa?,you</td><td>INT</td><td>POSS.NP</td><td>is.Q</td><td>Q,Is it really yours?,"<a href=""http://perso.wanadoo.fr/jdtr/struc/Bambara.htm"">http://perso.wanadoo.fr/jdtr/struc/Bambara.htm</a>",--,"POSS.NP: possessive noun ('mine', 'yours' etc.)<br> <i>do</i>: copula used in questions"
730,Lingala,scalar focus particle,yé</td><td>mpenjá</td><td>asálí</td><td>yangó,he</td><td>even</td><td>did</td><td>that,"Even he did that (orig.: 'He, even he, did it')","Carrington, J.F. and M. Guthrie (1988). <i>Lingala - Grammar and Dictionary</i>. Didcot: Baptist Missionary Society.",31,--
731,Fulani,adnominal,lamid&#146;o</td><td>kam</td><td>gam</td><td>hoore</td><td>mu&#660;u,king</td><td>he</td><td>PREP</td><td>INT</td><td>his,the King himself,"deWolf, P.P. (1995). <i>English-Fula Dictionary -- A Multidialectal Approach</i>. Part I. Berlin: Reimer.",74,APP: appositive marker (used for juxtaposition of two NPs)
732,Afrikaans,adv exclusive,jou</td><td>kind</td><td>moet</td><td>self</td><td>sy</td><td>skooltaak</td><td>doen,your</td><td>child</td><td>must</td><td>INT</td><td>his</td><td>homework</td><td>do,Your child must do his homework himself.,"Donaldson, B.C. (1993). <i>A Grammar of Afrikaans</i>. London: Routledge.",293,--
733,Afrikaans,adv exclusive,ek</td><td>het</td><td>haar</td><td>self</td><td>in</td><td>die</td><td>dorp</td><td>gesien,I</td><td>have</td><td>her</td><td>INT</td><td>in</td><td>the</td><td>town</td><td>seen,I saw her in town myself.,"Donaldson, B.C. (1993). <i>A Grammar of Afrikaans</i>. London: Routledge.",293,--
734,Afrikaans,adnominal,ek</td><td>self</td><td>het</td><td>haar</td><td>gesien,I</td><td>INT</td><td>have</td><td>her</td><td>seen,I myself/personally saw her.,"Donaldson, B.C. (1993). <i>A Grammar of Afrikaans</i>. London: Routledge.",294,--
735,Afrikaans,adv exclusive,Sy</td><td>hat</td><td>die</td><td>rokkie</td><td>self</td><td>gemaak,she</td><td>has</td><td>the</td><td>dress</td><td>INT</td><td>made,She made the dress herself.,"Donaldson, B.C. (1993). <i>A Grammar of Afrikaans</i>. London: Routledge.",294,--
736,Frisian,adnominal,ik</td><td>seach</td><td>de</td><td>minister</td><td>sels,I</td><td>saw</td><td>the</td><td>ministaer</td><td>INT,I saw the ministaer himself,"Tiersma, P.M. (1985). <i>Frisian Reference Grammar</i>. Dordrecht: Foris.",67,--
